vehicle_number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,flag_at_fl,s1_seconds,s2_seconds,s3_seconds,im1a_time,im1a_elapsed,im1_time,im1_elapsed,im2a_time,im2a_elapsed,im2_time,im2_elapsed,im3a_time,im3a_elapsed,fl_time,fl_elapsed,unnamed: 41,tyre_age,elapsed_seconds,TIME_UTC_SECOND,TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,Unnamed: 9,lap_time_seconds,START_UTC_SECONDS,lap,Laptrigger_lapdist_dls,Steering_Angle,VBOX_Lat_Min,VBOX_Long_Minutes,accx_can,accy_can,aps,gear,nmot,pbrake_f,pbrake_r,speed,incident,best_lap_time,loss_per_lap
2,1,1,0 days 00:01:52.476000,0,,38.431,0,40.412,0,33.633,0,125.6,1:52.476,2025-11-10 11:06:26.228,0:38.431,0:40.412,0:33.633,200.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,38.431,40.412,33.633,27.729,27.729,10.702,38.431,,,,1:18.843,13.224,1:32.067,20.409,1:52.476,,0,4.893,1760886324.893,,,,,,,,,,,112.476,1760886212.4169998,1,2676.173564753004,-2.4382085561497324,39.793990311648116,-86.23608198114896,0.004153208556149732,-0.1148716577540107,27.115382352941175,1.674331550802139,5267.289719626168,2.46725,2.499473262032086,86.55054812834224,0,0 days 00:01:41.003000,11.473
2,1,2,0 days 00:02:04.809000,0,,35.068,0,40.306,0,49.435,0,113.2,3:57.285,2025-11-10 11:08:31.037,0:35.068,0:40.306,0:49.435,208.1,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,FCY,35.068,40.306,49.435,24.602,24.602,10.466,35.068,22.681,57.749,17.625,1:15.374,25.379,1:40.753,24.056,2:04.809,,1,129.702,1760886449.702,,,,,,,,,,,124.809,1760886324.893,2,2025.4676258992806,-3.093559516963772,39.79371916061849,-86.235784836649,-0.010475273145485912,-0.09338527889591719,27.124942495687176,1.8893041978148362,5495.205755395684,3.038950546290972,3.118171362852214,93.53395114942528,0,0 days 00:01:41.003000,23.806
2,1,3,0 days 00:02:13.716000,0,,50.630,0,41.998,0,41.088,0,105.7,6:11.001,2025-11-10 11:10:44.753,0:50.630,0:41.998,0:41.088,154.1,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,50.63,41.998,41.088,37.015,37.015,13.615,50.630,25.026,1:15.656,16.972,1:32.628,18.976,1:51.604,22.112,2:13.716,,2,263.418,1760886583.418,,,,,,,,,,,133.716,1760886449.702,3,1996.1735849056604,-4.464350453172205,39.79393640961892,-86.23574313080202,0.008855362537764349,-0.18493353474320243,63.131231117824775,2.544561933534743,6217.271698113207,4.968546072507553,5.059603474320242,123.40922787193975,1,0 days 00:01:41.003000,32.713
2,1,4,0 days 00:01:43.847000,0,,35.789,0,34.448,0,33.610,0,136.1,7:54.848,2025-11-10 11:12:28.600,0:35.789,0:34.448,0:33.610,210.1,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,35.789,34.448,33.61,25.504,25.504,10.285,35.789,19.383,55.172,15.065,1:10.237,13.4,1:23.637,20.21,1:43.847,,3,367.265,1760886687.265,,,,,,,,,,,103.84700000000001,1760886583.4180002,4,2157.7024647887324,-4.202642706131078,39.793232235629596,-86.23557336335455,-0.01181324876673714,-0.15184848484848487,40.99960535588443,2.376321353065539,5859.31161971831,3.3752131782945733,3.4502501761804085,113.72926056338028,0,0 days 00:01:41.003000,2.844
2,1,5,0 days 00:01:42.299000,0,,35.346,0,34.178,0,32.775,0,138.1,9:37.147,2025-11-10 11:14:10.899,0:35.346,0:34.178,0:32.775,209.3,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,35.346,34.178,32.775,24.766,24.766,10.58,35.346,19.278,54.624,14.900,1:09.524,12.97,1:22.494,19.805,1:42.299,,4,469.564,1760886789.564,,,,,,,,,,,102.299,1760886687.2649999,5,1880.683690280066,-3.314681623226658,39.794185491176144,-86.23590615730953,0.0027010887495875946,-0.13630056087099968,34.65171560541076,2.0171560541075553,6002.044481054366,2.3556087099967007,2.4208924447377105,105.7837293729373,0,0 days 00:01:41.003000,1.296
2,1,6,0 days 00:01:41.336000,0,,34.410,0,34.083,0,32.843,0,139.4,11:18.483,2025-11-10 11:15:52.235,0:34.410,0:34.083,0:32.843,213.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.41,34.083,32.843,24.282,24.282,10.128,34.410,19.272,53.682,14.811,1:08.493,12.975,1:21.468,19.868,1:41.336,,5,570.9,1760886890.9,,,,,,,,,,,101.336,1760886789.5640001,6,1974.2092050209205,-5.1630280217482225,39.794131358364844,-86.23588348860922,-0.008973651191969887,-0.20654579673776663,66.82662484316185,2.779590129652865,6355.751046025104,5.5971873693015475,5.67780008364701,132.26192468619246,1,0 days 00:01:41.003000,0.333
2,1,7,0 days 00:01:41.112000,0,,34.417,0,33.938,0,32.757,0,139.8,12:59.595,2025-11-10 11:17:33.347,0:34.417,0:33.938,0:32.757,209.3,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.417,33.938,32.757,24.320,24.320,10.097,34.417,19.131,53.548,14.807,1:08.355,12.97,1:21.325,19.787,1:41.112,,6,672.012,1760886992.012,,,,,,,,,,,101.112,1760886890.9,7,2013.8221757322176,-5.238107202680067,39.79387626935489,-86.2356948852539,0.005185929648241206,-0.22980402010050252,72.07295644891123,2.8044388609715245,6468.177824267783,5.541143216080402,5.634195979899498,134.52442348008387,1,0 days 00:01:41.003000,0.109
2,1,8,0 days 00:01:41.282000,0,,34.287,0,34.296,0,32.699,2,139.5,14:40.877,2025-11-10 11:19:14.629,0:34.287,0:34.296,0:32.699,213.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.287,34.296,32.699,24.142,24.142,10.145,34.287,19.297,53.584,14.999,1:08.583,12.896,1:21.479,19.803,1:41.282,,7,773.294,1760887093.294,,,,,,,,,,,101.282,1760886992.0119998,8,2014.0660980810235,-5.38948717948718,39.79393047430577,-86.23574806278587,-0.001056837606837607,-0.2285760683760684,71.4957094017094,2.862820512820513,6472.266524520256,5.878412393162393,5.980282051282051,136.29824786324787,1,0 days 00:01:41.003000,0.279
2,1,9,0 days 00:01:41.766000,0,,34.325,0,34.014,0,33.427,0,138.9,16:22.643,2025-11-10 11:20:56.395,0:34.325,0:34.014,0:33.427,209.3,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.325,34.014,33.427,24.095,24.095,10.23,34.325,19.233,53.558,14.781,1:08.339,13.199,1:21.538,20.228,1:41.766,,8,875.06,1760887195.06,,,,,,,,,,,101.76599999999999,1760887093.294,9,1988.0106609808101,-5.893577201190983,39.79395424483026,-86.2357812651874,-0.0014674606550404076,-0.23082262866865164,72.4284432156529,2.89238621863037,6467.245202558635,5.796403658017865,5.903932369204594,136.82672340425532,1,0 days 00:01:41.003000,0.763
2,1,10,0 days 00:01:41.012000,0,,34.499,0,33.729,2,32.784,0,139.9,18:03.655,2025-11-10 11:22:37.407,0:34.499,0:33.729,0:32.784,209.3,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.499,33.729,32.784,24.363,24.363,10.136,34.499,19.113,53.612,14.616,1:08.228,12.966,1:21.194,19.818,1:41.012,,9,976.072,1760887296.072,,,,,,,,,,,101.012,1760887195.06,10,2012.2043010752689,-6.049074472664658,39.79388365661384,-86.23570928356024,0.013063280241067584,-0.23325656478691348,73.61019801980197,2.9418854928971157,6463.552688172043,5.303643994834266,5.3981510977184675,137.67122580645162,1,0 days 00:01:41.003000,0.009
