vehicle_number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,pit_time,class,group,manufacturer,flag_at_fl,s1_seconds,s2_seconds,s3_seconds,im1a_time,im1a_elapsed,im1_time,im1_elapsed,im2a_time,im2a_elapsed,im2_time,im2_elapsed,im3a_time,im3a_elapsed,fl_time,fl_elapsed,tyre_age,elapsed_seconds,TIME_UTC_SECOND,TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,lap_time_seconds,START_UTC_SECONDS,lap,Steering_Angle,accx_can,accy_can,ath,gear,nmot,pbrake_f,pbrake_r,speed,incident,best_lap_time,loss_per_lap
3,1,1,0 days 00:02:38.824000,0,,50.664,0,53.862,0,54.298,0,136.4,2:38.824,2025-11-10 13:42:36.640,0:50.664,0:53.862,0:54.298,,,Am,,Toyota Gazoo Racing,GF,50.664,53.862,54.298,23.398,23.398,27.266,50.664,30.297,1:20.961,23.565,1:44.526,34.381,2:18.907,19.917,2:38.824,0,10.221,1747503626.221,,,,,,,,,,158.824,1747503467.397,1.0,1.8120882352941177,-0.004407303921568627,-0.009030735294117647,24.81826764705882,0.5318627450980392,1330.0421465327126,9.36425294117647,9.87054656862745,23.4027909826023,0.0,0 days 00:02:28.603000,10.221
3,1,2,0 days 00:02:28.919000,0,,44.083,2,51.552,0,53.284,0,145.5,5:07.743,2025-11-10 13:45:05.559,0:44.083,0:51.552,0:53.284,,,Am,,Toyota Gazoo Racing,GF,44.083,51.552,53.284,17.866,17.866,26.217,44.083,29.325,1:13.408,22.227,1:35.635,33.588,2:09.223,19.696,2:28.919,1,159.14,1747503775.14,,,,,,,,,,148.919,1747503626.2210002,2.0,-6.480855281789862,0.01573775134522798,-0.1043191730387992,79.63092325120363,3.133106768620787,6118.9079320113315,6.3644293401302745,6.475133106768621,135.4939235127479,1.0,0 days 00:02:28.603000,0.316
3,1,3,0 days 00:02:28.798000,0,,44.643,0,51.100,0,53.055,0,145.6,7:36.541,2025-11-10 13:47:34.357,0:44.643,0:51.100,0:53.055,,,Am,,Toyota Gazoo Racing,GF,44.643,51.1,53.055,17.992,17.992,26.651,44.643,28.863,1:13.506,22.237,1:35.743,33.485,2:09.228,19.57,2:28.798,2,307.938,1747503923.938,,,,,,,,,,148.798,1747503775.1399999,3.0,-6.628202846975089,0.008291814946619217,-0.10749406880189798,80.02360913404507,3.2630486358244366,6269.97181008902,6.840766607354685,6.940971233689206,141.76492581602375,1.0,0 days 00:02:28.603000,0.195
3,1,4,0 days 00:02:28.871000,0,,44.289,0,51.551,0,53.031,0,145.6,10:05.412,2025-11-10 13:50:03.228,0:44.289,0:51.551,0:53.031,,,Am,,Toyota Gazoo Racing,GF,44.289,51.551,53.031,17.925,17.925,26.364,44.289,29.161,1:13.450,22.39,1:35.840,33.349,2:09.189,19.682,2:28.871,3,456.809,1747504072.809,,,,,,,,,,148.871,1747503923.938,4.0,-6.19092257490359,0.009209136754672205,-0.10688786710175023,79.86708098487095,3.244734500148324,6295.373887240356,6.698822307920498,6.796659744882825,141.81520771513354,1.0,0 days 00:02:28.603000,0.268
3,1,5,0 days 00:02:28.603000,2,,44.300,0,51.354,0,52.949,2,145.8,12:34.015,2025-11-10 13:52:31.831,0:44.300,0:51.354,0:52.949,,,Am,,Toyota Gazoo Racing,GF,44.3,51.354,52.949,18.036,18.036,26.264,44.300,29.097,1:13.397,22.257,1:35.654,33.298,2:08.952,19.651,2:28.603,4,605.412,1747504221.412,,,,,,,,,,148.603,1747504072.809,5.0,-4.742038980509745,0.00789865067466267,-0.10603148425787107,80.23358620689656,3.2326836581709144,6295.862275449102,7.274053973013493,7.375076461769115,141.2119760479042,1.0,0 days 00:02:28.603000,0.0
3,1,6,0 days 00:02:29.081000,0,,44.091,0,51.527,0,53.463,0,145.3,15:03.096,2025-11-10 13:55:00.912,0:44.091,0:51.527,0:53.463,,,Am,,Toyota Gazoo Racing,GF,44.091,51.527,53.463,17.853,17.853,26.238,44.091,29.24,1:13.331,22.287,1:35.618,33.553,2:09.171,19.91,2:29.081,5,754.493,1747504370.493,,,,,,,,,,149.081,1747504221.412,6.0,-6.691476091476091,0.006642411642411642,-0.11098247698247699,80.05413127413128,3.2705672705672706,6267.35661218425,6.654838134838135,6.766449361449362,141.89251114413076,1.0,0 days 00:02:28.603000,0.478
3,1,7,0 days 00:02:28.778000,0,,44.363,0,51.295,0,53.120,0,145.6,17:31.874,2025-11-10 13:57:29.690,0:44.363,0:51.295,0:53.120,,,Am,,Toyota Gazoo Racing,GF,44.363,51.295,53.12,18.018,18.018,26.345,44.363,29.006,1:13.369,22.289,1:35.658,33.342,2:09.000,19.778,2:28.778,6,903.271,1747504519.271,,,,,,,,,,148.778,1747504370.4929998,7.0,-6.552146875925378,0.007163754811963281,-0.10469499555818775,78.60810482676932,3.2496298489783833,6271.689349112426,6.604471424341131,6.719663902872372,141.59440828402367,1.0,0 days 00:02:28.603000,0.175
3,1,8,0 days 00:02:30.754000,0,,45.100,0,52.480,0,53.174,0,143.7,20:02.628,2025-11-10 14:00:00.444,0:45.100,0:52.480,0:53.174,,,Am,,Toyota Gazoo Racing,GF,45.1,52.48,53.174,18.231,18.231,26.869,45.100,30.015,1:15.115,22.465,1:37.580,33.375,2:10.955,19.799,2:30.754,7,1054.025,1747504670.025,,,,,,,,,,150.754,1747504519.2710001,8.0,-5.468826515377725,0.007945655419528217,-0.10318035234398328,78.35248133771276,3.247835174679009,6281.565671641791,6.832853090474768,6.946339205733055,141.67713432835822,1.0,0 days 00:02:28.603000,2.151
3,1,9,0 days 00:02:29.139000,0,,44.314,0,51.598,0,53.227,0,145.3,22:31.767,2025-11-10 14:02:29.583,0:44.314,0:51.598,0:53.227,,,Am,,Toyota Gazoo Racing,GF,44.314,51.598,53.227,17.824,17.824,26.490,44.314,29.191,1:13.505,22.407,1:35.912,33.366,2:09.278,19.861,2:29.139,8,1203.164,1747504819.164,,,,,,,,,,149.139,1747504670.025,9.0,-6.346144825564351,0.005049252418645558,-0.10482204632072706,79.65530636177074,3.2280856053943126,6206.9428152492665,7.002024333040164,7.122911169744943,139.84482404692082,1.0,0 days 00:02:28.603000,0.536
3,1,10,0 days 00:02:30.554000,0,,44.594,0,51.903,0,54.057,0,143.9,25:02.321,2025-11-10 14:05:00.137,0:44.594,0:51.903,0:54.057,,,Am,,Toyota Gazoo Racing,GF,44.594,51.903,54.057,17.968,17.968,26.626,44.594,29.518,1:14.112,22.385,1:36.497,33.965,2:10.462,20.092,2:30.554,9,1353.718,1747504969.718,,,,,,,,,,150.554,1747504819.164,10.0,-7.076356589147287,0.008046213476446034,-0.09843709004174121,79.4229367918903,3.244186046511628,6248.0327868852455,6.681100178890876,6.796942456768038,141.0118479880775,1.0,0 days 00:02:28.603000,1.951
